Date,IStep,WStep ,,,,,
4/28/23 9:00,45,45,,,,, 
4/28/23 10:00,115,115,,,,, 
4/28/23 11:00,256,322,,,,, 
4/28/23 12:00,350,487,,,,, 
4/28/23 13:00,304,482,,,,, 
4/28/23 14:00,781,788,,,,, 
4/28/23 15:00,1564,1311,,,,, 
4/28/23 16:00,3269,3234,,,,, 
4/28/23 17:00,251,323,,,,, 
4/28/23 18:00,112,169,,,,, 
4/28/23 19:00,1300,1798,,,,, 
4/28/23 20:00,174,262,,,,, 
4/28/23 21:00,786,1131,,,,, 
4/28/23 22:00,439,476,,,,, 
4/28/23 23:00,76,127,,,,, 
4/29/23 0:00,242.66,330,,,,, 
4/29/23 1:00,65.4,50,,,,, 
4/29/23 4:00,16,16,,,,, 
4/29/23 12:00,76.96,150,,,,, 
4/29/23 13:00,1457,1383,,,,, 
4/29/23 14:00,1690,1950,,,,, 
4/29/23 15:00,155.13,175.13,,,,, 
4/29/23 16:00,212,226.87,,,,, 
4/29/23 17:00,325,588,,,,, 
4/29/23 18:00,2180,1864,,,,, 
4/29/23 19:00,3246,2947,,,,, 
4/29/23 20:00,1664,1462,,,,, 
4/29/23 21:00,1508,1859,,,,, 
4/29/23 22:00,2831,3286,,,,, 
4/29/23 23:00,3127,2934,,,,, 
4/30/23 0:00,1685,1555,,,,, 
4/30/23 1:00,119,234,,,,, 
4/30/23 3:00,89,89,,,,, 
4/30/23 4:00,5,5,,,,, 
4/30/23 6:00,15,15,,,,, 
4/30/23 7:00,8,8,,,,, 
4/30/23 9:00,23,23,,,,, 
4/30/23 11:00,134,134,,,,, 
4/30/23 12:00,1443,1457,,,,, 
4/30/23 13:00,217.3,290.3,,,,, 
4/30/23 14:00,2118,2047,,,,, 
4/30/23 15:00,906.37,894,,,,, 
4/30/23 16:00,18,18,,,,, 
4/30/23 18:00,304,,,,,, 
